company	sector	industry	continent	country	marketvalue	sales	profits	assets	rank
ICBC	Financials	Major Banks	Asia	China	215.6	148.7	42.7	3124.9	1
China Construction Bank	Financials	Regional Banks	Asia	China	174.4	121.3	34.2	2449.5	4
Agricultural Bank of China	Financials	Regional Banks	Asia	China	141.1	136.4	27	2405.4	8
JPMorgan Chase	Financials	Major Banks	North America	United States	229.7	105.7	17.3	2435.3	20
Berkshire Hathaway	Financials	Investment Services	North America	United States	309.1	178.8	19.5	493.4	17
Exxon Mobil	Energy	Oil & Gas Operations	North America	United States	422.3	394	32.6	346.8	5
General Electric	Industrials	Conglomerates	North America	United States	259.6	143.3	14.8	656.6	25
Wells Fargo	Financials	Major Banks	North America	United States	261.4	88.7	21.9	1543	13
Bank of China	Financials	Major Banks	Asia	China	124.2	105.1	25.5	2291.8	9
PetroChina	Energy	Oil & Gas Operations	Asia	China	202	328.5	21.1	386.9	15
Royal Dutch Shell	Energy	Oil & Gas Operations	Europe	Netherlands	234.1	451.4	16.4	357.5	22
Toyota Motor	Consumer Discretionary	Auto & Truck Manufacturers	Asia	Japan	193.5	255.6	18.8	385.5	18
Bank of America	Financials	Major Banks	North America	United States	183.3	101.5	11.4	2113.8	33
HSBC Holdings	Financials	Major Banks	Europe	United Kingdom	192.6	79.6	16.3	2671.3	23
Apple	Information Technology	Computer Hardware	North America	United States	483.1	173.8	37	225.2	3
Citigroup	Financials	Major Banks	North America	United States	145.1	94.1	13.4	1883.4	28
BP	Energy	Oil & Gas Operations	Europe	United Kingdom	148.8	379.2	23.6	305.7	10
Chevron	Energy	Oil & Gas Operations	North America	United States	227.2	211.8	21.4	253.8	14
Volkswagen Group	Consumer Discretionary	Auto & Truck Manufacturers	Europe	Germany	119	261.5	12	446.9	31
Wal-Mart Stores	Consumer Discretionary	Discount Stores	North America	United States	247.9	476.5	16	204.8	24
Gazprom	Energy	Oil & Gas Operations	Asia	Russia	88.8	164.6	39	397.2	2
Samsung Electronics	Information Technology	Semiconductors	Asia	South Korea	186.5	208.9	27.2	202.8	7
AT&T	Telecommunication Services	Telecommunications services	North America	United States	182.7	128.8	18.2	277.8	19
BNP Paribas	Financials	Major Banks	Europe	France	98.6	123.2	6.4	2480.5	56
Total	Energy	Oil & Gas Operations	Europe	France	149.8	227.9	11.2	239.1	35
Verizon Communications	Telecommunication Services	Telecommunications services	North America	United States	197.7	120.6	11.5	274.1	32
