duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 10m 47sec.,647,3/25/2012 10:30,17th & Corcoran St NW,31214,3/25/2012 10:40,Calvert St & Woodley Pl NW,31106,W00576,Registered,326188
0h 11m 45sec.,705,3/28/2012 18:59,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,3/28/2012 19:11,21st & M St NW,31212,W00011,Registered,345585
0h 7m 45sec.,465,3/12/2012 22:30,3rd & H St NE,31616,3/12/2012 22:37,Florida Ave & R St NW,31503,W01215,Registered,251919
0h 4m 27sec.,267,3/12/2012 20:11,14th & G St NW,31238,3/12/2012 20:15,14th & Rhode Island Ave NW,31203,W00455,Registered,251426
0h 10m 2sec.,602,2/3/2012 9:06,Lamont & Mt Pleasant NW,31107,2/3/2012 9:16,17th & Rhode Island Ave NW,31239,W00300,Registered,105965
0h 24m 59sec.,1499,3/30/2012 19:35,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,3/30/2012 20:00,Massachusetts Ave & Dupont Circle NW,31200,W01352,Registered,357661
0h 13m 45sec.,825,3/10/2012 16:44,North Capitol St & F St NW,31624,3/10/2012 16:58,Thomas Circle,31241,W00089,Registered,240483
0h 12m 58sec.,778,2/9/2012 21:32,14th & R St NW,31202,2/9/2012 21:45,18th & M St NW,31221,W01158,Registered,129535
0h 2m 2sec.,122,3/29/2012 17:36,18th & Bell St,31007,3/29/2012 17:38,23rd & Crystal Dr,31011,W00653,Registered,350819
0h 17m 44sec.,1064,2/18/2012 8:43,21st & I St NW,31205,2/18/2012 9:01,8th & H St NW,31228,W01398,Registered,156324
0h 19m 43sec.,1183,3/31/2012 19:08,19th & E Street NW,31206,3/31/2012 19:28,10th St & Constitution Ave NW,31219,W01278,Casual,363912
0h 16m 33sec.,993,2/22/2012 8:20,7th & R St NW / Shaw Library,31245,2/22/2012 8:37,New York Ave & 15th St NW,31222,W00356,Registered,170556
0h 6m 49sec.,409,3/22/2012 17:10,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,3/22/2012 17:17,13th & D St NE,31622,W00211,Registered,310589
0h 5m 34sec.,334,1/19/2012 20:39,Columbus Circle / Union Station,31623,1/19/2012 20:45,13th & H St NE,31611,W00724,Registered,56016
0h 14m 17sec.,857,3/31/2012 10:30,13th & D St NE,31622,3/31/2012 10:44,4th & E St SW,31244,W01006,Registered,359385
0h 16m 11sec.,971,3/14/2012 17:24,13th St & New York Ave NW,31227,3/14/2012 17:40,11th & H St NE,31614,W00034,Registered,261560
0h 13m 42sec.,822,3/31/2012 9:10,36th & Calvert St NW / Glover Park,31304,3/31/2012 9:24,7th & T St NW,31109,W01242,Registered,359045
0h 30m 29sec.,1829,3/23/2012 17:42,11th & Kenyon St NW,31102,3/23/2012 18:13,Van Ness Metro / UDC,31300,W00688,Registered,319246
0h 9m 11sec.,551,3/29/2012 15:10,4th & M St SW,31108,3/29/2012 15:20,USDA / 12th & Independence Ave SW,31217,W01330,Registered,349768
0h 11m 30sec.,690,1/5/2012 8:23,14th & Rhode Island Ave NW,31203,1/5/2012 8:34,North Capitol St & F St NW,31624,W00380,Registered,9340
0h 6m 13sec.,373,3/16/2012 8:27,1st & M St NE,31603,3/16/2012 8:33,5th St & K St NW,31600,W00932,Registered,271143
