patron_type_code;patron_type_definition;total_checkouts;total_renewals;age_range;home_library_code;home_library_definition;circulation_active_month;circulation_active_year;notice_preference_code;notice_preference_definition;provided_email_address;year_patron_registered;outside_of_county;supervisor_district
0;ADULT;6;0;10 to 19 years;W4;Western Addition;July;2015;z;email;1;2012;0;8
4;WELCOME;1;0;35 to 44 years;X;Main Library;June;2016;z;email;1;2016;0;9
0;ADULT;4;8;45 to 54 years;R3;Richmond;April;2015;z;email;1;2015;1;
0;ADULT;177;117;35 to 44 years;R3;Richmond;January;2016;z;email;1;2012;0;1
0;ADULT;74;19;25 to 34 years;X;Main Library;July;2013;a;print;1;2003;0;3
0;ADULT;5;6;35 to 44 years;G4;Glen Park;November;2014;z;email;1;2014;0;10
0;ADULT;629;656;55 to 59 years;E7;Eureka Valley/Harvey Milk Memorial;July;2016;z;email;1;2003;0;7
0;ADULT;1;0;25 to 34 years;X;Main Library;July;2016;z;email;1;2016;1;
0;ADULT;20;23;25 to 34 years;G6;Golden Gate Valley;July;2016;z;email;1;2014;0;2
3;SENIOR;98;107;65 to 74 years;P1;Park;November;2014;z;email;1;2003;0;5
1;JUVENILE;23;1;0 to 9 years;O7;Ortega;May;2016;z;email;1;2014;0;4
0;ADULT;3;6;25 to 34 years;M6;Mission;June;2016;z;email;1;2015;0;9
0;ADULT;4;4;20 to 24 years;X;Main Library;June;2015;z;email;1;2015;0;8
0;ADULT;1;0;45 to 54 years;E9;Excelsior;May;2013;p;phone;1;2013;0;11
0;ADULT;56;4;25 to 34 years;X;Main Library;May;2016;p;phone;0;2014;0;10
0;ADULT;9;4;35 to 44 years;W2;West Portal;July;2015;z;email;1;2009;0;8
0;ADULT;27;0;55 to 59 years;V3;Visitacion Valley;June;2010;a;print;0;2006;0;10
1;JUVENILE;72;63;0 to 9 years;O7;Ortega;June;2016;z;email;1;2014;0;4
0;ADULT;4;0;25 to 34 years;X;Main Library;November;2011;z;email;1;2011;0;1
0;ADULT;2;4;10 to 19 years;E9;Excelsior;July;2016;p;phone;0;2015;0;11
0;ADULT;5;0;20 to 24 years;I5;Ingleside;January;2014;p;phone;0;2014;0;11
0;ADULT;1;0;45 to 54 years;E7;Eureka Valley/Harvey Milk Memorial;June;2016;z;email;1;2016;0;
0;ADULT;10;0;45 to 54 years;X;Main Library;July;2016;z;email;1;2015;0;5
0;ADULT;15;14;25 to 34 years;X;Main Library;June;2015;z;email;1;2013;0;
0;ADULT;24;0;55 to 59 years;X;Main Library;November;2014;z;email;1;2013;0;
0;ADULT;26;14;60 to 64 years;X;Main Library;January;2013;z;email;1;2012;0;5
0;ADULT;3;0;45 to 54 years;M2;Marina;August;2015;a;print;0;2014;0;2
0;ADULT;0;0;45 to 54 years;O7;Ortega;;;z;email;1;2014;1;
0;ADULT;0;0;25 to 34 years;X;Main Library;;;z;email;1;2015;0;8
0;ADULT;1;0;35 to 44 years;M6;Mission;March;2014;p;phone;0;2014;0;9
1;JUVENILE;980;196;10 to 19 years;B4;Bernal Heights;July;2016;z;email;1;2009;0;9
0;ADULT;0;0;45 to 54 years;X;Main Library;;;z;email;1;2015;0;5
3;SENIOR;1913;0;75 years and over;X;Main Library;July;2016;a;print;0;2003;0;4
0;ADULT;4;0;45 to 54 years;X;Main Library;June;2013;a;print;0;2003;0;11
1;JUVENILE;68;0;0 to 9 years;O7;Ortega;March;2016;p;phone;0;2012;0;7
4;WELCOME;1;0;20 to 24 years;X;Main Library;January;2013;z;email;1;2013;0;11
0;ADULT;377;26;45 to 54 years;C2;Chinatown;March;2016;p;phone;0;2003;0;9
0;ADULT;156;47;55 to 59 years;E7;Eureka Valley/Harvey Milk Memorial;June;2016;z;email;1;2006;0;
0;ADULT;79;40;25 to 34 years;X;Main Library;November;2014;z;email;1;2011;1;
3;SENIOR;0;0;65 to 74 years;X;Main Library;;;z;email;1;2016;1;
1;JUVENILE;402;3;0 to 9 years;I5;Ingleside;July;2016;z;email;1;2013;0;
0;ADULT;0;0;20 to 24 years;X;Main Library;;;z;email;1;2012;1;
0;ADULT;81;2;35 to 44 years;O7;Ortega;August;2015;z;email;1;2013;1;
0;ADULT;1;0;25 to 34 years;M6;Mission;June;2016;a;print;0;2016;1;
0;ADULT;35;12;20 to 24 years;S7;Sunset;September;2013;z;email;1;2005;0;7
0;ADULT;27;1;65 to 74 years;V3;Visitacion Valley;November;2015;p;phone;0;2010;0;3
1;JUVENILE;623;12;10 to 19 years;P5;Portola;July;2016;p;phone;1;2008;0;9
0;ADULT;885;256;45 to 54 years;N6;North Beach;June;2016;z;email;1;2011;0;3
2;YOUNG ADULT;0;0;10 to 19 years;P3;Parkside;July;2014;p;phone;0;2014;0;4
0;ADULT;5;6;45 to 54 years;X;Main Library;October;2013;z;email;1;2005;0;11
2;YOUNG ADULT;4;0;10 to 19 years;X;Main Library;May;2009;z;email;1;2006;0;11
4;WELCOME;1;0;25 to 34 years;X;Main Library;January;2013;a;print;0;2009;0;5
1;JUVENILE;8;0;0 to 9 years;M6;Mission;July;2016;z;email;1;2016;0;
0;ADULT;210;75;25 to 34 years;S7;Sunset;February;2013;z;email;1;2009;0;8
3;SENIOR;281;63;65 to 74 years;X;Main Library;April;2013;z;email;1;2006;0;7
0;ADULT;0;0;25 to 34 years;R3;Richmond;;;z;email;1;2015;0;2
0;ADULT;1;1;35 to 44 years;P1;Park;November;2013;z;email;1;2013;0;5
3;SENIOR;5627;745;65 to 74 years;E7;Eureka Valley/Harvey Milk Memorial;July;2016;z;email;1;2003;0;8
0;ADULT;4011;2355;55 to 59 years;O7;Ortega;July;2016;z;email;1;2003;0;4
0;ADULT;376;1;60 to 64 years;G4;Glen Park;July;2016;z;email;1;2014;0;7
0;ADULT;50;0;60 to 64 years;X;Main Library;April;2016;a;print;0;2016;0;6
0;ADULT;1098;378;60 to 64 years;C2;Chinatown;June;2016;z;email;1;2003;0;11
0;ADULT;35;9;20 to 24 years;E9;Excelsior;September;2015;z;email;1;2003;0;11
0;ADULT;24;1;45 to 54 years;M2;Marina;May;2013;z;email;1;2008;0;2
0;ADULT;0;0;25 to 34 years;X;Main Library;;;p;phone;0;2015;1;
0;ADULT;1089;1072;45 to 54 years;P3;Parkside;June;2014;z;email;1;2009;0;4
2;YOUNG ADULT;0;0;10 to 19 years;X;Main Library;;;z;email;1;2014;1;
0;ADULT;3;3;35 to 44 years;C2;Chinatown;November;2013;z;email;1;2013;0;3
0;ADULT;314;151;60 to 64 years;M6;Mission;July;2016;z;email;1;2003;0;8
0;ADULT;1;0;35 to 44 years;X;Main Library;March;2012;a;print;0;2011;0;6
3;SENIOR;184;6;65 to 74 years;A5;Anza;July;2016;z;email;1;2009;0;1
1;JUVENILE;4;1;0 to 9 years;M6;Mission;June;2015;p;phone;0;2015;1;
0;ADULT;0;0;20 to 24 years;X;Main Library;;;z;email;1;2016;0;1
1;JUVENILE;12;0;0 to 9 years;E7;Eureka Valley/Harvey Milk Memorial;March;2015;p;phone;0;2014;0;
0;ADULT;9;6;25 to 34 years;X;Main Library;March;2016;z;email;1;2015;0;5
0;ADULT;2;0;25 to 34 years;O7;Ortega;June;2015;z;email;1;2015;0;4
3;SENIOR;0;0;65 to 74 years;M8;Mission Bay;;;z;email;1;2013;0;6
0;ADULT;1;3;55 to 59 years;C2;Chinatown;February;2008;a;print;0;2007;1;
1;JUVENILE;2279;32;10 to 19 years;P5;Portola;July;2016;p;phone;0;2010;0;9
0;ADULT;3;0;25 to 34 years;X;Main Library;August;2015;z;email;1;2007;0;5
0;ADULT;100;46;25 to 34 years;M8;Mission Bay;February;2015;p;phone;0;2014;0;9
0;ADULT;100;31;35 to 44 years;G4;Glen Park;February;2015;z;email;1;2007;0;7
0;ADULT;100;16;35 to 44 years;M4;Merced;February;2015;z;email;1;2011;0;7
0;ADULT;100;0;45 to 54 years;X;Main Library;February;2015;z;email;1;2013;0;6
1;JUVENILE;100;1;0 to 9 years;G4;Glen Park;February;2015;z;email;1;2011;0;9
3;SENIOR;36;0;65 to 74 years;M6;Mission;April;2016;z;email;1;2015;0;9
10;VISITOR;19;0;65 to 74 years;N4;Noe Valley/Sally Brunn;April;2015;z;email;1;2015;1;
3;SENIOR;1;2;65 to 74 years;X;Main Library;April;2016;z;email;1;2015;0;3
3;SENIOR;3;0;65 to 74 years;X;Main Library;April;2016;z;email;1;2015;0;11
3;SENIOR;38;1;65 to 74 years;I5;Ingleside;April;2016;z;email;1;2015;0;7
3;SENIOR;5;1;65 to 74 years;X;Main Library;April;2015;p;phone;0;2015;1;
3;SENIOR;2;0;65 to 74 years;X;Main Library;April;2015;z;email;1;2015;1;
3;SENIOR;2;0;65 to 74 years;I5;Ingleside;April;2015;a;print;0;2015;0;3
3;SENIOR;25;5;65 to 74 years;W4;Western Addition;April;2016;p;phone;0;2015;0;4
3;SENIOR;1;1;65 to 74 years;X;Main Library;April;2015;a;print;0;2015;0;6
5;STAFF;0;0;55 to 59 years;X;Main Library;March;2016;z;email;0;2016;1;
0;ADULT;2;2;45 to 54 years;R3;Richmond;June;2016;z;email;0;2016;0;3
0;ADULT;11;0;25 to 34 years;P7;Potrero;June;2016;z;email;0;2015;0;9
1;JUVENILE;84;0;10 to 19 years;E9;Excelsior;July;2016;z;email;0;2013;0;
0;ADULT;4;0;25 to 34 years;X;Main Library;July;2016;z;email;0;2010;0;
0;ADULT;1211;973;55 to 59 years;E7;Eureka Valley/Harvey Milk Memorial;July;2016;z;email;1;2003;0;7
